"","nutrient_type","variable","value"
"561","Lake TN","ag",29.1580324151454
"562","Lake TN","ag",151.245745873385
"563","Lake TN","ag",35.7575252911447
"564","Lake TN","ag",18.1466862338814
"565","Lake TN","ag",50.2890973632915
"566","Lake TN","ag",-10.8981043803028
"567","Lake TN","ag",211.980053602633
"568","Lake TN","ag",70.1445329954718
"569","Lake TN","ag",53.6482121470381
"570","Lake TN","ag",46.3867545334929
"571","Lake TN","ag",59.7694566838773
"572","Lake TN","ag",47.1552983716055
"573","Lake TN","ag",15.0638548386685
"574","Lake TN","ag",-13.2575343956408
"575","Lake TN","ag",17.512792424408
"576","Lake TN","ag",5.56377516327348
"577","Lake TN","ag",84.6883101098962
"578","Lake TN","ag",3.29961840218287
"579","Lake TN","ag",116.316281522901
"580","Lake TN","ag",140.002176309723
"581","Lake TN","ag",85.5657673598485
"582","Lake TN","ag",120.204858623379
"583","Lake TN","ag",0.399306095670006
"584","Lake TN","ag",7.53159732790971
"585","Lake TN","ag",26.0777963725054
"586","Lake TN","ag",138.07324961312
"587","Lake TN","ag",33.7574693869424
"588","Lake TN","ag",66.4477776669772
"589","Lake TN","ag",12.0438944892257
"590","Lake TN","ag",17.5895841846847
"591","Lake TN","ag",167.744963694972
"592","Lake TN","ag",25.772614503472
"593","Lake TN","ag",84.5393326072772
"594","Lake TN","ag",94.8786386457266
"595","Lake TN","ag",110.031834847988
"596","Lake TN","ag",-0.740206401760463
"597","Lake TN","ag",0.145505709095715
"598","Lake TN","ag",-14.8401554996075
"599","Lake TN","ag",68.1569401046702
"600","Lake TN","ag",66.4931271658385
"601","Lake TN","ag",112.114464049792
"602","Lake TN","ag",27.0170673363029
"603","Lake TN","ag",13.4747162496547
"604","Lake TN","ag",-17.3814466342147
"605","Lake TN","ag",1.34938413946846
"606","Lake TN","ag",66.4616113677279
"607","Lake TN","ag",110.296964533862
"608","Lake TN","ag",50.5042497422916
"609","Lake TN","ag",82.5162553742655
"610","Lake TN","ag",75.987979565144
"611","Lake TN","ag",31.9264617460275
"612","Lake TN","ag",2.83639427382328
"613","Lake TN","ag",26.9685679120578
"614","Lake TN","ag",116.007844236379
"615","Lake TN","ag",-49.5683834200569
"616","Lake TN","ag",-18.5006369272031
"617","Lake TN","ag",35.7602603470677
"618","Lake TN","ag",35.0542933620427
"619","Lake TN","ag",38.8867735207308
"620","Lake TN","ag",-28.562237942489
"621","Lake TN","ag",-1.24376890352345
"622","Lake TN","ag",31.3326625073441
"623","Lake TN","ag",-0.382073385852665
"624","Lake TN","ag",184.313113332973
"625","Lake TN","ag",54.510042514924
"626","Lake TN","ag",189.958463015288
"627","Lake TN","ag",13.6427174888792
"628","Lake TN","ag",139.35129175398
"629","Lake TN","ag",91.5051718936227
"630","Lake TN","ag",-0.759275326257708
"631","Lake TN","ag",61.9520586721029
"632","Lake TN","ag",20.8155588896168
"633","Lake TN","ag",14.7425029905136
"634","Lake TN","ag",-1.44966785008847
"635","Lake TN","ag",1.97461837745136
"636","Lake TN","ag",15.0307823314644
"637","Lake TN","ag",42.1064160558182
"638","Lake TN","ag",39.9013702859522
"639","Lake TN","ag",-4.12478063092757
"640","Lake TN","ag",-25.5585539483098
"641","Lake TN","ag",41.3466577633492
"642","Lake TN","ag",31.6218972994744
"643","Lake TN","ag",-28.1772130466669
"644","Lake TN","ag",25.3794430981456
"645","Lake TN","ag",53.5222134425843
"646","Lake TN","ag",30.013933406938
"647","Lake TN","ag",-93.7877291984797
"648","Lake TN","ag",-34.0304311780436
"649","Lake TN","ag",56.670303443483
"650","Lake TN","ag",78.6539463279605
"651","Lake TN","ag",26.5312262153329
"652","Lake TN","ag",-25.6641300908115
"653","Lake TN","ag",41.5220770898496
"654","Lake TN","ag",15.3229571015363
"655","Lake TN","ag",58.7665511112608
"656","Lake TN","ag",-70.8571425661544
"657","Lake TN","ag",-20.9811080745314
"658","Lake TN","ag",38.0876792334141
"659","Lake TN","ag",27.4981240914731
"660","Lake TN","ag",40.5318426148671
"661","Lake TN","ag",18.8089621334488
"662","Lake TN","ag",8.25324600872674
"663","Lake TN","ag",-23.8607053780809
"664","Lake TN","ag",17.1708581553043
"665","Lake TN","ag",-4.8679561543873
"666","Lake TN","ag",98.9844993012794
"667","Lake TN","ag",67.288358853599
"668","Lake TN","ag",-14.0120745650516
"669","Lake TN","ag",81.5226327963212
"670","Lake TN","ag",43.0903818479417
"671","Lake TN","ag",82.3848307946569
"672","Lake TN","ag",52.4486811914369
"673","Lake TN","ag",22.7116306607675
"674","Lake TN","ag",5.8134382342437
"675","Lake TN","ag",21.5567064691055
"676","Lake TN","ag",5.53105865089038
"677","Lake TN","ag",61.6304120263038
"678","Lake TN","ag",58.8661031225082
"679","Lake TN","ag",66.7678393025418
"680","Lake TN","ag",76.6969798617964
"681","Lake TN","ag",163.000561980831
"682","Lake TN","ag",65.2663343692561
"683","Lake TN","ag",-18.6250468251847
"684","Lake TN","ag",39.9641564105853
"685","Lake TN","ag",47.7061380583949
"686","Lake TN","ag",5.66392411416382
"687","Lake TN","ag",-5.34750337415946
"688","Lake TN","ag",-58.3520606076666
"689","Lake TN","ag",22.3976280667804
"690","Lake TN","ag",-21.0157550294483
"691","Lake TN","ag",3.21618384669906
"692","Lake TN","ag",21.5383261276676
"693","Lake TN","ag",30.0176552044487
"694","Lake TN","ag",54.739919646484
